GeoFips,GeoName,LineCode,Description,2015Q1,2015Q2,2015Q3,2015Q4
41000,Oregon,1,Personal income,169602485,171886682,175298248,175893550
41000,Oregon,2,"Population (midperiod, persons)",4007934,4021660,4036871,4052060
41000,Oregon,3,Per capita personal income (dollars),42317,42740,43424,43408
42000,Pennsylvania,1,Personal income,622080205,626345894,632927139,637485357
42000,Pennsylvania,2,"Population (midperiod, persons)",12801337,12801097,12805395,12809331
42000,Pennsylvania,3,Per capita personal income (dollars),48595,48929,49427,49767
44000,Rhode Island,1,Personal income,52036390,52869995,53171747,53543726
44000,Rhode Island,2,"Population (midperiod, persons)",1055917,1056092,1056603,1057066
44000,Rhode Island,3,Per capita personal income (dollars),49281,50062,50323,50653
45000,South Carolina,1,Personal income,182434999,185286680,187885119,189536185
45000,South Carolina,2,"Population (midperiod, persons)",4871941,4887706,4905304,4923011
45000,South Carolina,3,Per capita personal income (dollars),37446,37909,38302,38500
46000,South Dakota,1,Personal income,38037270,38582153,38844726,39085354
46000,South Dakota,2,"Population (midperiod, persons)",856654,857789,859221,860645
46000,South Dakota,3,Per capita personal income (dollars),44402,44979,45209,45414
47000,Tennessee,1,Personal income,271371495,276381171,280163451,282909912
47000,Tennessee,2,"Population (midperiod, persons)",6581642,6593590,6607724,6621835
47000,Tennessee,3,Per capita personal income (dollars),41232,41917,42399,42724
48000,Texas,1,Personal income,1273515231,1276062217,1289243054,1298228673
48000,Texas,2,"Population (midperiod, persons)",27289913,27407579,27534962,27662720
48000,Texas,3,Per capita personal income (dollars),46666,46559,46822,46931
49000,Utah,1,Personal income,114576772,116439908,118017371,118935099
49000,Utah,2,"Population (midperiod, persons)",2976994,2989407,3002740,3016113
49000,Utah,3,Per capita personal income (dollars),38487,38951,39303,39433
50000,Vermont,1,Personal income,29487324,29791014,30198657,30394461
50000,Vermont,2,"Population (midperiod, persons)",626402,626122,626009,625896
50000,Vermont,3,Per capita personal income (dollars),47074,47580,48240,48562
51000,Virginia,1,Personal income,428602293,435270854,440204756,444367751
51000,Virginia,2,"Population (midperiod, persons)",8363674,8375928,8390920,8405736
51000,Virginia,3,Per capita personal income (dollars),51246,51967,52462,52865
53000,Washington,1,Personal income,359140938,366310940,369832910,371874722
53000,Washington,2,"Population (midperiod, persons)",7131217,7156769,7184866,7212926
53000,Washington,3,Per capita personal income (dollars),50362,51184,51474,51557
54000,West Virginia,1,Personal income,67682852,68297327,68569980,68764391
54000,West Virginia,2,"Population (midperiod, persons)",1846161,1844667,1843793,1842878
54000,West Virginia,3,Per capita personal income (dollars),36661,37024,37190,37314
55000,Wisconsin,1,Personal income,259109404,262017886,265311107,266765891
55000,Wisconsin,2,"Population (midperiod, persons)",5767611,5769637,5773504,5777182
55000,Wisconsin,3,Per capita personal income (dollars),44925,45413,45953,46176
56000,Wyoming,1,Personal income,32402758,32343661,32479717,32442767
56000,Wyoming,2,"Population (midperiod, persons)",585513,585877,586394,586918
56000,Wyoming,3,Per capita personal income (dollars),55341,55206,55389,55276
91000,New England,1,Personal income,852632845,865603592,871373663,878408090
91000,New England,2,"Population (midperiod, persons)",14715410,14722403,14734064,14745278
91000,New England,3,Per capita personal income (dollars),57941,58795,59140,59572
92000,Mideast,1,Personal income,2688610363,2729220812,2757922169,2776792122
92000,Mideast,2,"Population (midperiod, persons)",49141610,49164223,49203834,49242670
92000,Mideast,3,Per capita personal income (dollars),54711,55512,56051,56390
93000,Great Lakes,1,Personal income,2062985875,2086223068,2109295303,2129672215
93000,Great Lakes,2,"Population (midperiod, persons)",46781366,46781645,46797180,46811680
93000,Great Lakes,3,Per capita personal income (dollars),44098,44595,45073,45494
94000,Plains,1,Personal income,972026870,979856669,986306026,991968849
94000,Plains,2,"Population (midperiod, persons)",21081722,21105854,21136950,21167592
94000,Plains,3,Per capita personal income (dollars),46108,46426,46663,46863
95000,Southeast,1,Personal income,3411419986,3455867587,3497562935,3526253064
95000,Southeast,2,"Population (midperiod, persons)",81887801,82074954,82292181,82509793
95000,Southeast,3,Per capita personal income (dollars),41660,42106,42502,42737
96000,Southwest,1,Personal income,1788199382,1794585862,1811425926,1823411184
96000,Southwest,2,"Population (midperiod, persons)",40068006,40215717,40378015,40540654
96000,Southwest,3,Per capita personal income (dollars),44629,44624,44862,44977
97000,Rocky Mountain,1,Personal income,520852071,527413035,532330658,536389275
97000,Rocky Mountain,2,"Population (midperiod, persons)",11659079,11703177,11751216,11799326
97000,Rocky Mountain,3,Per capita personal income (dollars),44674,45066,45300,45459
98000,Far West,1,Personal income,2767702665,2825874614,2856229300,2882018825
98000,Far West,2,"Population (midperiod, persons)",55196717,55332132,55486199,55640192
98000,Far West,3,Per capita personal income (dollars),50143,51071,51476,51797
Legend / Footnotes:,,,,,,,
1/ Midquarter population estimates by state are derived by BEA based on unpublished Census Bureau estimates of beginning-of-month population. Quarterly estimates for 2010-2014 reflect unpublished monthly population estimates available as of February 2015. Quarterly estimates for 2015 reflect unpublished monthly population estimates available as of February 2016.,,,,,,,
2/ Per capita personal income is total personal income divided by total quarterly population estimates.,,,,,,,
Geographic Note-- Estimates prior to 1950 are not available for Alaska and Hawaii.,,,,,,,
"Note-- Thousands of dollars, seasonally adjusted at annual rates. All dollar estimates are in current dollars (not adjusted for inflation).",,,,,,,
"Last updated: March 24, 2016-- new estimates for 2015:IV; revised estimates for 2015:I-2015:III.",,,,,,,
